"timestamp","download","upload","jitter","latency","packet loss"
"10/08/2022 15:27:36","266.192384","48.339784","0.279","7.472","N/A"
"10/08/2022 15:31:48","266.808896","48.360184","0.368","8.022","N/A"
"10/08/2022 15:32:21","266.58592","48.465872","0.175","8.117","N/A"
"10/08/2022 15:33:09","266.064408","48.367872","0.185","7.523","N/A"
"10/08/2022 15:34:29","266.596032","48.489904","0.008","8.231","N/A"
"10/08/2022 15:38:48","266.299952","48.449856","0.496","7.597","N/A"
"10/08/2022 15:44:42","266.94232","48.49276","0.273","8.704","N/A"
"10/08/2022 15:48:02","266.254888","48.336352","0.377","8.083","N/A"
"10/08/2022 15:52:00","266.278816","48.541112","0.053","8.164","N/A"
"10/08/2022 16:00:18","266.455344","48.616272","0.333","7.432","N/A"
"10/08/2022 17:00:18","266.24384","47.837072","0.07","7.417","N/A"
"10/08/2022 18:00:19","261.718376","48.368296","0.067","8.906","N/A"
"10/08/2022 19:00:14","265.962792","48.434856","0.097","8.832","N/A"
"10/08/2022 20:00:17","266.601976","48.374208","0.188","7.463","N/A"
"10/08/2022 21:00:18","266.419832","48.368848","0.361","8.285","N/A"
"10/08/2022 22:00:25","266.394784","48.174704","0.365","7.465","N/A"
"10/08/2022 23:00:19","259.749752","48.348312","0.053","8.937","N/A"
"10/09/2022 00:00:14","259.376264","48.409984","0.351","8.254","N/A"
"10/09/2022 01:00:18","266.439448","48.424616","0.017","8.212","N/A"
"10/09/2022 02:00:16","265.851488","48.53164","0.207","8.201","N/A"
"10/09/2022 03:00:15","266.3306","48.468512","0.341","8.171","N/A"
"10/09/2022 04:00:17","266.5364","48.460904","0.284","8.354","N/A"
"10/09/2022 05:00:20","266.64436","48.451848","0.502","8.217","N/A"
"10/09/2022 06:00:24","266.516008","48.4384","0.033","8.203","N/A"
"10/09/2022 07:00:12","266.5852","48.293008","0.013","8.97","N/A"
"10/09/2022 08:00:25","266.022096","48.465616","0.21","8.245","N/A"
"10/09/2022 09:00:19","266.479896","48.463512","0.107","8.873","N/A"
"10/09/2022 10:00:15","251.677152","48.433816","0.023","8.931","N/A"
"10/09/2022 10:15:29","266.566952","48.470256","0.092","8.926","N/A"
"10/09/2022 10:16:53","266.543344","48.53044","0.321","8.274","N/A"
"10/09/2022 10:19:05","267.203232","48.453984","0.213","8.228","N/A"
"10/09/2022 10:21:33","266.520992","48.44952","0.236","8.292","N/A"
"10/09/2022 10:28:41","265.310928","48.404648","0.038","8.202","N/A"
"10/09/2022 11:00:14","266.049664","48.416776","0.019","8.234","N/A"
"10/09/2022 11:06:07","265.74032","48.398448","0.481","8.259","N/A"
"10/09/2022 11:12:25","266.317328","48.285576","0.327","7.577","N/A"
"10/09/2022 11:13:49","266.600848","48.453248","0.141","8.41","N/A"
"10/09/2022 12:00:12","265.8518","48.33648","0.619","8.226","N/A"
"10/09/2022 13:00:19","259.409552","48.484256","0.022","8.208","N/A"
"10/09/2022 14:00:18","266.851992","48.370136","0.007","8.211","N/A"
"10/09/2022 15:00:17","266.216856","48.595864","0.349","8.272","N/A"
"10/09/2022 16:00:19","266.468224","48.462976","0.357","8.149","N/A"
"10/09/2022 17:00:17","265.058608","48.465632","0.016","8.206","N/A"
"10/09/2022 18:00:17","266.7268","48.458704","0.209","8.187","N/A"
"10/09/2022 19:00:15","266.61996","48.342296","0.319","8","N/A"
"10/09/2022 20:00:20","266.602816","48.316912","0.003","8.238","N/A"
"10/09/2022 21:00:23","249.534672","48.400736","0.499","8.235","N/A"
"10/09/2022 22:00:23","227.899936","48.408496","0.234","8.207","N/A"
"10/09/2022 23:00:25","266.410272","48.30276","0.185","8.212","N/A"
"10/10/2022 00:00:12","266.489808","48.279232","0.367","7.514","N/A"
"12/13/2022 15:30:35","293.447104","47.779728","0.184","8.004","N/A"
"12/13/2022 15:31:04","293.178496","47.667256","0.065","7.386","N/A"
"12/13/2022 15:31:40","293.470096","47.695856","0.073","8.17","N/A"
"12/13/2022 16:00:25","291.656208","46.239208","0.025","8.208","N/A"
"12/13/2022 17:00:17","289.984944","47.770288","0.027","7.441","N/A"
"12/13/2022 18:00:19","292.977576","48.422536","0.226","7.27","N/A"
"12/13/2022 19:00:14","285.105872","48.373952","0.229","7.148","N/A"
"12/13/2022 20:00:18","290.597032","48.296536","0.21","7.437","N/A"
"12/13/2022 21:00:15","291.284168","48.479552","0.24","7.373","N/A"
"12/13/2022 22:00:19","292.727608","48.400176","0.399","7.466","N/A"
"12/13/2022 23:00:12","283.550888","47.476424","0.016","7.461","N/A"
"12/14/2022 00:00:23","292.194568","48.364592","0.028","7.451","N/A"
"12/14/2022 01:00:16","294.457216","48.394816","0.048","7.429","N/A"
