"timeline","download bytes"
"10/08/2022 12:24:13","4441805"
"10/08/2022 12:24:24","5795478"
"10/08/2022 12:25:40","6042494"
"10/08/2022 12:52:15","5804214"
"10/08/2022 13:00:24","6058058"
"10/08/2022 14:00:25","6054487"
"10/08/2022 14:26:06","6082664"
